"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
119,0.00124114283880129,0.00152710147009612,0.0390781456839513,7.25311578266169e-05,0.00153067517734942,0.0391238441024067,"scap_x_l050","scap_marg_l050",-0.00116861168097467,3.57370725330018e-06,0.997665273922134,"B_covariate_dependent"
120,0.0333640639657503,0.00281053121061106,0.0530144434150832,0.0461774473562006,0.00397745859778586,0.0630670959993074,"scap_x_l050","trad",0.0128133833904503,0.0011669273871748,0.706614824897386,"B_covariate_dependent"
120,0.0525810869704339,0.0128062481224181,0.113164694681769,0.0461935673680836,0.00397896121871435,0.063079007749919,"ipcw_x","ipcw_marg",-0.00638751960235028,-0.00882728690370374,3.21849030902491,"B_covariate_dependent"
120,0.0333640639657503,0.00281053121061106,0.0530144434150832,0.0346493487721581,0.00289796198128276,0.0538327222169078,"scap_x_l050","scap_marg_l050",0.00128528480640774,8.74307706717069e-05,0.969830256146768,"B_covariate_dependent"
120,0.032343166023029,0.00282568372223899,0.0531571605923322,0.0143378549608508,0.0018068288811036,0.0425068098203523,"ps_x_spline","ps_marg_logit",-0.0180053110621782,-0.00101885484113539,1.56389116412235,"B_covariate_dependent"
121,0.0241987987981927,0.00273937770941253,0.0523390648503823,0.0250504496830302,0.00278438534267113,0.0527672753008068,"scap_x_l050","scap_marg_l050",0.00085165088483756,4.50076332586054e-05,0.983835702419182,"B_covariate_dependent"
121,0.0241987987981927,0.00273937770941253,0.0523390648503823,0.00610520688415048,0.0022361242286665,0.0472876752300904,"scap_x_l050","trad",-0.0180935919140422,-0.000503253480746026,1.22505613699563,"B_covariate_dependent"
121,0.0232784903940745,0.0032310629061938,0.0568424393054503,0.0356165474009199,0.00361424609720887,0.0601186002598935,"ps_x_spline","ps_marg_logit",0.0123380570068454,0.000383183191015071,0.893979773178427,"B_covariate_dependent"
121,0.0263759022670503,0.00685614263691057,0.0828018274974084,0.00596880963682891,0.00223436636446183,0.0472690846585993,"ipcw_x","ipcw_marg",-0.0204070926302214,-0.00462177627244874,3.06849527721115,"B_covariate_dependent"
122,0.011439101004517,0.00344212196310744,0.0586695999910298,0.0254688961142628,0.00374307621590111,0.0611806849904536,"ps_x_spline","ps_marg_logit",0.0140297951097458,0.000300954252793674,0.919597081268295,"B_covariate_dependent"
