"scenario_id","block","scenario_group","n","n_rep","copula_family","tau_design","copula_param","tau_full","margin","x_type","cov_effect","censor_x_effect","censor_model","target_censor2","H_quantile","total_scenarios"
26,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
27,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
28,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
29,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
30,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
31,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
32,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
33,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.8,192
34,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.3,0.9,192
35,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.8,192
36,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.5,0.707106781186547,0.5,"exp","binary","moderate","none","exp",0.5,0.9,192
37,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.8,192
38,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.9,192
39,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.8,192
40,"A_independent","negative_control_independent_censoring",100,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.9,192
41,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.8,192
42,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.9,192
43,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.8,192
44,"A_independent","negative_control_independent_censoring",300,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.9,192
45,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.8,192
46,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.3,0.9,192
47,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.8,192
48,"A_independent","negative_control_independent_censoring",500,1000,"gaussian",0.75,0.923879532511287,0.75,"exp","binary","moderate","none","exp",0.5,0.9,192
49,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.3,0.9,192
50,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","strong","strong","exp",0.3,0.9,192
51,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","moderate","moderate","exp",0.3,0.9,192
52,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","normal","strong","strong","exp",0.3,0.9,192
53,"B_covariate_dependent","covariate_dependent_censoring",100,1000,"gaussian",-0.5,-0.707106781186547,-0.5,"exp","binary","moderate","moderate","exp",0.5,0.9,192
