"scenario_id","block","mse_new","width_new","coverage_new","mse_ref","width_ref","coverage_ref","method_new","method_ref","mse_reduction","rel_mse","width_reduction"
176,"C_nonlinear_observability",0.0168252073233688,0.389000936721609,0.973333333333333,0.010769774802493,0.326571324614035,0.996666666666667,"gscap_x_l100","ipcw_x",-0.0060554325208758,1.56226175866501,-0.062429612107574
20,"A_independent",0.00341265520754984,0.294146834623129,0.99,0.00450714082859894,0.29490371053841,0.976666666666667,"gscap_x_l100","ipcw_x",0.0010944856210491,0.757166313929151,0.000756875915281008
32,"A_independent",0.00491847156467934,0.259509419751449,0.956666666666667,0.00383808976298507,0.237105489415241,0.966666666666667,"gscap_x_l100","ipcw_x",-0.00108038180169427,1.28148945658165,-0.022403930336208
86,"B_covariate_dependent",0.0106736547867787,0.343248340911202,0.956666666666667,0.0138379700533446,0.34695680257871,0.943333333333333,"gscap_x_l100","ipcw_x",0.0031643152665659,0.771330964414026,0.00370846166750799
110,"B_covariate_dependent",0.00817214373432665,0.277163881375423,0.93,0.00331196686332677,0.202601861080021,0.93,"gscap_x_l050","ipcw_marg",-0.00486017687099988,2.46745938940886,-0.074562020295402
163,"C_nonlinear_observability",0.0182365823642969,0.430800527907514,0.986666666666667,0.00398542192591278,0.243570026734016,0.953333333333333,"gscap_x_l050","ipcw_marg",-0.0142511604383841,4.57582226005348,-0.187230501173498
164,"C_nonlinear_observability",0.0147611919918014,0.432952325481696,0.993333333333333,0.00405507931866265,0.230074368602308,0.926666666666667,"gscap_x_l050","ipcw_marg",-0.0107061126731387,3.6401734298676,-0.202877956879388
175,"C_nonlinear_observability",0.00897660199984434,0.332922695964848,0.973333333333333,0.00192080744855775,0.184996673951589,0.96,"gscap_x_l050","ipcw_marg",-0.00705579455128659,4.67334818312188,-0.147926022013259
176,"C_nonlinear_observability",0.0113204849734998,0.340614899483215,0.986666666666667,0.00217153659088983,0.177938840947192,0.923333333333333,"gscap_x_l050","ipcw_marg",-0.00914894838260997,5.21312190685261,-0.162676058536023
20,"A_independent",0.00451182974665432,0.284794911277945,0.986666666666667,0.00327349582393254,0.237581941185735,0.95,"gscap_x_l050","ipcw_marg",-0.00123833392272178,1.37829097372549,-0.04721297009221
32,"A_independent",0.0035294105171594,0.237540452169798,0.966666666666667,0.00238707318049222,0.198375991494687,0.956666666666667,"gscap_x_l050","ipcw_marg",-0.00114233733666718,1.47855145204707,-0.039164460675111
86,"B_covariate_dependent",0.0114086498733032,0.334205830032744,0.953333333333333,0.00376687259377072,0.233373397528046,0.94,"gscap_x_l050","ipcw_marg",-0.00764177727953248,3.02867951843386,-0.100832432504698
110,"B_covariate_dependent",0.00997849061032164,0.304560079305477,0.876666666666667,0.00331196686332677,0.202601861080021,0.93,"gscap_x_l100","ipcw_marg",-0.00666652374699487,3.01285943431769,-0.101958218225456
163,"C_nonlinear_observability",0.0176524731316906,0.455060254099108,0.986666666666667,0.00398542192591278,0.243570026734016,0.953333333333333,"gscap_x_l100","ipcw_marg",-0.0136670512057778,4.42926080596791,-0.211490227365092
